Index,Phylotype,Sub-Phylotype,Sequevar,Sub-sequevar designation,Strainname,Alt Names,"Environmental Source (Soil, Water, unknown plants)",Host Species (Common name),Host Species,Host Genus,Host Family,Host Order,Year isolated,Longitude,Latitude,Location Isolated,Location (Country or Territory),Location (subcontinent),Location (continent),Genome Accession,Genome Level,Sequencing Tech,egl accession,mutS accession,other accession,Citation,Year published,Data entered by,Comments
6635,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,111.1289253,28.20099474,"Hunan, China",China,Eastern Asia,Asia,,,,,,,"Mao, He 1998, https://link.springer.com/book/10.1007/978-3-662-03592-4",1998,Tiffany Lowe-Power,
6636,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,111.1289253,28.20099474,"Hunan, China",China,Eastern Asia,Asia,,,,,,,"Mao, He 1998, https://link.springer.com/book/10.1007/978-3-662-03592-4",1998,Tiffany Lowe-Power,
6637,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,111.1289253,28.20099474,"Hunan, China",China,Eastern Asia,Asia,,,,,,,"Mao, He 1998, https://link.springer.com/book/10.1007/978-3-662-03592-4",1998,Tiffany Lowe-Power,
6639,,,,,GPs1,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,118.1967481,35.98945281,"Shandong, China",China,Eastern Asia,Asia,,,,,,,"Mao, He 1998, https://link.springer.com/book/10.1007/978-3-662-03592-4",1998,Tiffany Lowe-Power,
6640,,,,,,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,,102.5197894,31.40537666,"Sichuan, China",China,Eastern Asia,Asia,,,,,,,"Mao, He 1998, https://link.springer.com/book/10.1007/978-3-662-03592-4",1998,Tiffany Lowe-Power,
6641,,,,,,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,,102.5197894,31.40537666,"Sichuan, China",China,Eastern Asia,Asia,,,,,,,"Mao, He 1998, https://link.springer.com/book/10.1007/978-3-662-03592-4",1998,Tiffany Lowe-Power,
6642,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,102.5197894,31.40537666,"Sichuan, China",China,Eastern Asia,Asia,,,,,,,"Mao, He 1998, https://link.springer.com/book/10.1007/978-3-662-03592-4",1998,Tiffany Lowe-Power,
6643,,,,,,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,102.5197894,31.40537666,"Sichuan, China",China,Eastern Asia,Asia,,,,,,,"Mao, He 1998, https://link.springer.com/book/10.1007/978-3-662-03592-4",1998,Tiffany Lowe-Power,
6644,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,102.5197894,31.40537666,"Sichuan, China",China,Eastern Asia,Asia,,,,,,,"Mao, He 1998, https://link.springer.com/book/10.1007/978-3-662-03592-4",1998,Tiffany Lowe-Power,
6645,,,,,T2003,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,101.2700761,24.29153223,"Yunnan, China",China,Eastern Asia,Asia,,,,,,,"Mao, He 1998, https://link.springer.com/book/10.1007/978-3-662-03592-4",1998,Tiffany Lowe-Power,
6648,,,,,CIP016,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1974,-78.5164,-7.158754,"Cajamarca, Cajamarca, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6649,,,,,CIP197,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1982,-78.5164,-7.158754,"Cajamba, Cajamarca, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6653,,,,,CIP014,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1974,-78.65162,-6.561566,"Chota, Cajamarca, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6659,,,,,CIP167,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1980,-75.9980867,-11.1612953,"La Chinana, Junín, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6662,,,,,CIP010,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1979,-75.35301,-11.12159,"La Chinana, San Ramón, Junín, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6665,,,,,CIP072,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1966,-76.123625,-5.884223,"Lupuna, Loreto, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6666,,,,,CIP003,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1974,-80.666919,-5.189358,"Morropón, Piura, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6668,,,,,CIP079,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1981,-78.56547,-7.902137,"Otuzco, La Libertad, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6669,,,,,CIP299,,Soil,,,,,,1987,-75.35301,-11.12159,"San Miguel, San Ramón, Junín, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6673,,,,,CIP050,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1976,-76.04452,-9.864655,"Umari, Huánuco, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6676,,,,,CIP273,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1987,-77.8714631,-6.2293182,"Yeso, Amazonas, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6677,,,,,CIP061,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1976,-76.104805,-5.895072,"Yurimaguas, Loreto, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6678,,,,,CIP063,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1976,-76.104805,-5.895072,"Yurimaguas, Loreto, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6679,,,,,CIP107,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1977,-76.104805,-5.895072,"Yurimaguas, Loreto, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6680,,,,,CIP108,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1977,-76.104805,-5.895072,"Yurimaguas, Loreto, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6682,,,,,CIP175,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1979,-76.104805,-5.895072,"Yurimaguas, Loreto, Peru",Peru,Southern America,South America,,,,,,,"Marín 1993 IBWS proceedings, https://ageconsearch.umn.edu/record/134669/files/PR045.pdf#page=68",1993,Tiffany Lowe-Power,
6684,,,,,,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2005-2010,87.683011,23.664497,"Birbhum, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6685,,,,,,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2005-2010,87.683011,23.664497,"Birbhum, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6686,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,2005-2010,87.683011,23.664497,"Birbhum, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6687,,,,,,,,Tagetes erecta (Marigold),Tagetes erecta,Tagetes,Asteraceae,Asterales,2005-2010,87.683011,23.664497,"Birbhum, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6688,,,,,,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,2005-2010,87.683011,23.664497,"Birbhum, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6689,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,2005-2010,87.683011,23.664497,"Birbhum, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6690,,,,,,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2005-2010,88.03867724,23.82201445,"Coochebehar, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6691,,,,,,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2005-2010,88.03867724,23.82201445,"Coochebehar, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6692,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,2005-2010,88.03867724,23.82201445,"Coochebehar, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6693,,,,,,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2005-2010,88.03867724,23.82201445,"Coochebehar, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6694,,,,,,,,Citrullus lanatus (Watermelon),Citrullus lanatus,Citrullus,Cucurbitaceae,Cucurbitales,2005-2010,88.03867724,23.82201445,"Coochebehar, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6695,,,,,,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,2005-2010,88.03867724,23.82201445,"Coochebehar, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6696,,,,,,,,Corchorus olitorius (Jute),Corchorus olitorius,Corchorus,Malvaceae,Malvales,2005-2010,88.03867724,23.82201445,"Coochebehar, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6697,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,2005-2010,88.03867724,23.82201445,"Coochebehar, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6698,,,,,,,,Croton sparsiflorus (Croton),Croton spersiflorus,Croton,Euphorbiaceae,Malpighiales,,88.03867724,23.82201445,"Coochebehar, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6699,,,,,,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2005-2010,88.265132,27.041848,"Darjeeling, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6700,,,,,,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2005-2010,88.265132,27.041848,"Darjeeling, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6701,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,2005-2010,88.265132,27.041848,"Darjeeling, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6702,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,2005-2010,88.265132,27.041848,"Darjeeling, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6703,,,,,,,,Amomum subulatum (Black Cardamom),Amomum subulatum,Amomum,Zingiberaceae,Zingiberales,2005-2010,88.265132,27.041848,"Darjeeling, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6704,,,,,,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2005-2010,88.340199,22.753493,"Hooghly, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6705,,,,,,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2005-2010,88.340199,22.753493,"Hooghly, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6706,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,2005-2010,88.340199,22.753493,"Hooghly, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6707,,,,,,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,2005-2010,88.340199,22.753493,"Hooghly, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6708,,,,,,,,Corchorus olitorius (Jute),Corchorus olitorius,Corchorus,Malvaceae,Malvales,2005-2010,88.340199,22.753493,"Hooghly, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6709,,,,,,,,Cestrum diurnum (Day-blooming Cestrum),Cestrum diurnum,Cestrum,Solanaceae,Solanales,,88.340199,22.753493,"Hooghly, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6710,,,,,,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2005-2010,88.722992,26.524631,"Jalpaiguri, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6711,,,,,,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2005-2010,88.722992,26.524631,"Jalpaiguri, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6712,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,2005-2010,88.722992,26.524631,"Jalpaiguri, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6713,,,,,,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2005-2010,88.722992,26.524631,"Jalpaiguri, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6714,,,,,,,,Corchorus olitorius (Jute),Corchorus olitorius,Corchorus,Malvaceae,Malvales,2005-2010,88.722992,26.524631,"Jalpaiguri, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6715,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,2005-2010,88.722992,26.524631,"Jalpaiguri, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6716,,,,,,,,Amomum subulatum (Black Cardamom),Amomum subulatum,Amomum,Zingiberaceae,Zingiberales,2005-2010,88.722992,26.524631,"Jalpaiguri, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6717,,,,,,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2005-2010,88.145845,25.00041,"Maldah, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6718,,,,,,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2005-2010,88.145845,25.00041,"Maldah, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6719,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,2005-2010,88.145845,25.00041,"Maldah, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6720,,,,,,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2005-2010,88.145845,25.00041,"Maldah, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6721,,,,,,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2005-2010,88.272026,24.175076,"Murshidabad, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6722,,,,,,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2005-2010,88.272026,24.175076,"Murshidabad, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6723,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,2005-2010,88.272026,24.175076,"Murshidabad, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6724,,,,,,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,2005-2010,88.272026,24.175076,"Murshidabad, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6725,,,,,,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2005-2010,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6726,,,,,,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2005-2010,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6727,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,2005-2010,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6728,,,,,,,,Tagetes erecta (Marigold),Tagetes erecta,Tagetes,Asteraceae,Asterales,2005-2010,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6729,,,,,,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,2005-2010,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6730,,,,,,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2005-2010,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6731,,,,,,,,Amorphophallus campanulatus (Elephant Foot Yam),Amorphophallus campanulatus,Amorphophallus,Araceae,Alismatales,2005-2010,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6732,,,,,,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,2005-2010,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6733,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,2005-2010,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6734,,,,,,,,Cestrum nocturnum (Night-blooming Jasmine),Cestrum nocturnum,Cestrum,Solanaceae,Solanales,2005-2010,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6735,,,,,,,,Bougainvillea sp.,,Bougainvillea,Nyctaginaceae,Caryophyllales,2005-2010,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6736,,,,,,,,Croton sparsiflorus (Croton),Croton spersiflorus,Croton,Euphorbiaceae,Malpighiales,,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6737,,,,,,,,Cestrum diurnum (Day-blooming Cestrum),Cestrum diurnum,Cestrum,Solanaceae,Solanales,,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6738,,,,,,,,Solanum indicum (Black Nightshade),Solanum indicum,Solanum,Solanaceae,Solanales,,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6739,,,,,,,,Solanum sisymbriifolium (Sticky Nightshade),Solanum sisymbriifolium,Solanum,Solanaceae,Solanales,,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6740,,,,,,,,Physalis minima (Native Gooseberry),Physalis minima,Physalis,Solanaceae,Solanales,,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
6741,,,,,,,,Amaranthus spinosus (Spiny Amaranth),Amaranthus spinosus,Amaranthus,Amaranthaceae,Caryophyllales,,88.491952,23.40686,"Nadia, West Bengal, India",India,Southern Asia,Asia,,,,,,,"Mondal 2011, https://www.cabi.org/isc/FullTextPDF/2014/20143063677.pdf",2011,Tiffany Lowe-Power,
